filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_Apop_tota, push_total, sgrow_total, sshrink_total
linear_regression_additional/trace_car_only/vpython_car_001.txt,001,2306607,4200178,124,157711,28898,56372,7,1334,189,340,0,18,2335694,4256890,131,159063
linear_regression_additional/trace_car_only/vpython_car_002.txt,002,2306598,4200163,124,157711,28898,56372,7,1334,189,340,0,18,2335685,4256875,131,159063
linear_regression_additional/trace_car_only/vpython_car_003.txt,003,2306592,4200153,124,157711,28898,56372,7,1334,189,340,0,18,2335679,4256865,131,159063
linear_regression_additional/trace_car_only/vpython_car_004.txt,004,2306598,4200163,124,157711,28898,56372,7,1334,189,340,0,18,2335685,4256875,131,159063
linear_regression_additional/trace_car_only/vpython_car_005.txt,005,2306586,4200143,124,157711,28898,56372,7,1334,189,340,0,18,2335673,4256855,131,159063
linear_regression_additional/trace_car_only/vpython_car_006.txt,006,2306580,4200133,124,157711,28898,56372,7,1334,189,340,0,18,2335667,4256845,131,159063
linear_regression_additional/trace_car_only/vpython_car_007.txt,007,2306592,4200153,124,157711,28898,56372,7,1334,189,340,0,18,2335679,4256865,131,159063
linear_regression_additional/trace_car_only/vpython_car_008.txt,008,2306592,4200153,124,157711,28898,56372,7,1334,189,340,0,18,2335679,4256865,131,159063
linear_regression_additional/trace_car_only/vpython_car_009.txt,009,2306613,4200188,124,157711,28898,56372,7,1334,189,340,0,18,2335700,4256900,131,159063
linear_regression_additional/trace_car_only/vpython_car_010.txt,010,2306613,4200188,124,157711,28898,56372,7,1334,189,340,0,18,2335700,4256900,131,159063
linear_regression_additional/trace_car_only/vpython_car_011.txt,011,2306592,4200153,124,157711,28898,56372,7,1334,189,340,0,18,2335679,4256865,131,159063
linear_regression_additional/trace_car_only/vpython_car_012.txt,012,2306589,4200148,124,157711,28898,56372,7,1334,189,340,0,18,2335676,4256860,131,159063
linear_regression_additional/trace_car_only/vpython_car_013.txt,013,2306610,4200183,124,157711,28898,56372,7,1334,189,340,0,18,2335697,4256895,131,159063
linear_regression_additional/trace_car_only/vpython_car_014.txt,014,2306586,4200143,124,157711,28898,56372,7,1334,189,340,0,18,2335673,4256855,131,159063
linear_regression_additional/trace_car_only/vpython_car_015.txt,015,2306577,4200128,124,157711,28898,56372,7,1334,189,340,0,18,2335664,4256840,131,159063
linear_regression_additional/trace_car_only/vpython_car_016.txt,016,2306589,4200148,124,157711,28898,56372,7,1334,189,340,0,18,2335676,4256860,131,159063
linear_regression_additional/trace_car_only/vpython_car_017.txt,017,2306598,4200163,124,157711,28898,56372,7,1334,189,340,0,18,2335685,4256875,131,159063
